"2401 McKinney Ranch Pky, McKinney, TX 75070"
"18333 Roehampton Dr, Dallas, TX 75252"
"5301 W Spring Creek Pky, Plano, TX 75024"
"705 Bray Central Dr, Allen, TX 75013"
"4200 Horizon North Pky, Dallas, TX 78287"
"3653 Briargrove Ln, Dallas, TX 75287"
"7650 McCallum Bldv, Dallas, TX 75252"
"7500 Rolling Brook Dr, Frisco, TX 75034"
"1300 Eldorado Pky, McKinney, TX 75069"
"18081 Midway Rd, Dallas, TX 75287"
"1834 E Peters Colony Rd, Carrollton, TX 75007"
"1721 Frakford Rd, Carrollton, TX 75007"
"18050 Kelly Blvd, Dallas, TX 75287"
"9399 Wade Blvd, Frisco, TX 75035"
"6000 Eldorado Pky, Frisco, TX 75033"
"1737 E Frankford Rd, Carrollton, TX 75007"
"2521 Wolford St, McKinney, TX 75071"
"18788 Marsh Ln, Dallas, TX 75287"
"7549 Stonebrook Pky, Frisco, TX 75034"
"4912 Haverwood Ln, Dallas, TX 75287"
"4640 Hedgcoxe Rd, Plano, TX 75024"
"18331 Roehampton Dr, Dallas, TX 75252"
"3910 Old Denton Rd, Carrollton, TX 75007"
"3773 Timberglen Rd, Dallas, TX 75287"
"3640 Old Denton Rd, Carrollton, TX 75007"
"4753 Old Bent Tree Ln, Dallas, TX 75287"
