name,address,url,year,rent,sqft,price_per,pet_rent,pet_deposit,fees,dishwasher,washer_dryer,countertops,floor_level,dog_walking,dog_park,groceries,costco,gym,apt_gym,quiet_ac,ac_filter_can_change,parking,smart_thermostat,electronic_lock,trails,bike_lanes,to_work,toll_road,walk_in_closet,ceiling_fans,guest_parking,speed_bumps,notes
MkKinney Pointe,"2401 McKinney Ranch Pky, McKinney, TX 75070",https://www.apartments.com/mckinney-pointe-mckinney-tx/zl3jg2w/,,,,0,45,600,240,1,hookup,granite,,,,,,,,,,,,,,,,,1,1,,,
Roehampton,"18333 Roehampton Dr, Dallas, TX 75252",https://www.apartments.com/18333-roehampton-dr-dallas-tx-unit-721/1dzbbt6/,,,,0,,,,,,,,,,,,,,,,,,,,,,,,1,,,
Thornbury at Chase Oaks,"7101 Chase Oaks Blvd, Plano, TX 75025",https://www.apartments.com/thornbury-at-chase-oaks-plano-tx/v8x64zf/,,,,0,20,400,175,1,hookup,,,,1,,,,,,,,,,,,,,,,,,
Villas at Legacy,"5301 W Spring Creek Pky, Plano, TX 75024",https://www.apartments.com/villas-at-legacy-plano-tx/k3bpecc/,,,,0,30,700,175,1,hookup,granite,,,,,,,,,,,,,,,,,1,,,,
Auberry at Twin Creeks,"705 Bray Central Dr, Allen, TX 75013",https://www.apartments.com/auberry-at-twin-creeks-allen-tx/t1kq6eb/,,,,0,20,400,200,1,unit,granite,,,,,,,,,,,,,,,,,1,,,,
Essence at North Dallas,"4200 Horizon North Pky, Dallas, TX 78287",https://www.apartments.com/essence-at-north-dallas-dallas-tx/3z14q8g/,,,,0,20,200,175,1,"hookup, unit",granite,,,,,,,,,,,,,,,,,1,,,,
Andalusian Gate,"3653 Briargrove Ln, Dallas, TX 75287",https://www.apartments.com/andalusian-gate-dallas-tx/bb1hytc/,,,,0,10,500,150,1,hookup,granite,,,,,,,,,,,,,,,,,1,1,,,
Ashwood Park,"7650 McCallum Bldv, Dallas, TX 75252",https://www.apartments.com/ashwood-park-apartments-dallas-tx/1rby186/,,,,0,0,300,50,1,hookup,,,,,,,,,,,,,,,,,,,1,,,
Stonebrook Village,"7500 Rolling Brook Dr, Frisco, TX 75034",https://www.apartments.com/stonebrook-village-apts-frisco-tx/yke66lt/,,,,0,0,575,35,,"unit, hookup",,,,,,,,,,,,,,,,,,1,,,,
Mason,"1300 Eldorado Pky, McKinney, TX 75069",https://www.apartments.com/mason-mckinney-tx/zsj02vy/,,1637,1090,1.5,10,500,210,1,,,,,,,,,,,,,,,,,,,,,,,
Hunter's Hill,"18081 Midway Rd, Dallas, TX 75287",https://www.apartments.com/hunters-hill-dallas-tx/6v07n0r/,,,,,10,150,100,,,,,,,,,,,,,,,,,,,,,,,,
Bella Vist Apartment Homes,"1834 E Peters Colony Rd, Carrollton, TX 75007",https://www.apartments.com/bella-vista-apartment-homes-carrollton-tx/vc0x8gd/,1982,,,,25,500,500,,,,,,,,,,,,,,,,,,,,,,,,
Edentree,"1721 Frakford Rd, Carrollton, TX 75007",https://www.apartments.com/edentree-carrollton-tx/x5gbjkn/,1983,,,,10,400,195,,,,,,,,,,,,,,,,,,,,,,,,
State Apartments Dallas,"18050 Kelly Blvd, Dallas, TX 75287",https://www.apartments.com/slate-apartments-dallas-dallas-tx/e0tgg4q/,1985,,,,10,300,175,,,,,,,,,,,,,,,,,,,,,,,,
Plano Park Townhomes,"2253 Ashley Park Dr, Plano, TX 75074",https://www.apartments.com/plano-park-townhomes-plano-tx/0jt0xl1/,1984,,,,20,400,175,,,,,,,,,,,,,,,,,,,,,,,,
Independence Crossing,"6501 Independence Pky, Plano, TX 75023",https://www.apartments.com/independence-crossing-plano-tx/snbgy36/,1999,,,,25,400,145,,,,,,,,,,,,,,,,,,,,,,,,
Wade Crossing Apartment Homes,"9399 Wade Blvd, Frisco, TX 75035",https://www.apartments.com/wade-crossing-apartment-homes-frisco-tx/hzzbye0/,2000,,,,20,500,175,,,,,,,,,,,,,,,,,,,,,,,,
Cobb Hill Apartments,"6000 Eldorado Pky, Frisco, TX 75033",https://www.apartments.com/cobb-hill-apartments-frisco-tx/55xss2q/,2008,,,,15,350,200,,,,,,,,,,,,,,,,,,,,,,,,
Galleria Townhomes,"1737 E Frankford Rd, Carrollton, TX 75007",https://www.apartments.com/galleria-townhomes-carrollton-tx/tyvgwhb/,1983,,,,0,400,165,,,,,,,,,,,,,,,,,,,,,,,,
Stonegate,"2521 Wolford St, McKinney, TX 75071",https://www.apartments.com/stonegate-mckinney-tx/k99c8eb/,1983,,,,10,300,220,,,,,,,,,,,,,,,,,,,,,,,,
Amber Vista Apartments,"1901 E 15th St, Plano, TX 75074",https://www.apartments.com/amber-vista-apartments-plano-tx/96jdbq7/,1974,,,,25,300,565,,,,,,,,,,,,,,,,,,,,,,,,
Greenbriar Apartments,"1901 W Spring Creek Pky, Plano, TX 75023",https://www.apartments.com/greenbriar-apartments-plano-tx/8wn7ey0/,1983,,,,0,400,150,,,,,,,,,,,,,,,,,,,,,,,,
Crossings on Marsh,"18788 Marsh Ln, Dallas, TX 75287",https://www.apartments.com/crossings-on-marsh-dallas-tx/w9lrd9h/,1985,,,,10,300,230,,,,,,,,,,,,,,,,,,,,,,,,
Mission Eagle Pointe,"325 S Jupiter Rd, Allen, TX 75002",https://www.apartments.com/mission-eagle-pointe-allen-tx/g2yd2bx/,2004,,,,40,700,175,,,,,,,,,,,,,,,,,,,,,,,,
Custer Park Apartments,"3400 Custer Rd, Plano, TX 75023",https://www.apartments.com/custer-park-apartments-plano-tx/zqrwvdy/,1978,,,,0,400,175,,,,,,,,,,,,,,,,,,,,,,,,
Villages at Clear Spring,"2600 Clear Springs Dr, Richardson, TX 75082",https://www.apartments.com/villages-at-clear-springs-richardson-tx/05emf82/,1998,,,,15,400,580,,,,,,,,,,,,,,,,,,,,,,,,
Cross Creek,"7401 Alma Dr, Plano, TX 75025",https://www.apartments.com/cross-creek-plano-tx/hdmgh21/,1983,,,,20,300,100,,,,,,,,,,,,,,,,,,,,,,,,
The Brook,"7549 Stonebrook Pky, Frisco, TX 75034",https://www.apartments.com/the-brook-frisco-tx/k883wy9/,1999,,,,0,400,200,,,,,,,,,,,,,,,,,,,,,,,,
Champions of North Dallas,"4912 Haverwood Ln, Dallas, TX 75287",https://www.apartments.com/champions-of-north-dallas-dallas-tx/0n8e863/,1986,,,,0,300,125,,,,,,,,,,,,,,,,,,,,,,,,
The Point at Deerfield Apartments,"4640 Hedgcoxe Rd, Plano, TX 75024",https://www.apartments.com/the-point-at-deerfield-apartments-plano-tx/54ggmvq/,1999,,,,15,500,165,,,,,,,,,,,,,,,,,,,,,,,,
The Manhattan Apartments,"18331 Roehampton Dr, Dallas, TX 75252",https://www.apartments.com/the-manhattan-apartments-dallas-tx/wsmpr5k/,1983,,,,10,200,100,,,,,,,,,,,,,,,,,,,,,,,,
Indian Creek,"3910 Old Denton Rd, Carrollton, TX 75007",https://www.apartments.com/indian-creek-carrollton-tx/qffc75y/,1985,,,,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
Timberglen Apartments,"3773 Timberglen Rd, Dallas, TX 75287",https://www.apartments.com/timberglen-apartments-dallas-tx/9phrrq5/,1984,,,,0,0,100,,,,,,,,,,,,,,,,,,,,,,,,
Waterford at the Park,"3640 Old Denton Rd, Carrollton, TX 75007",https://www.apartments.com/waterford-at-the-park-carrollton-tx/cp7vjrf/,1985,,,,0,600,115,,,,,,,,,,,,,,,,,,,,,,,,
Pear Ridge,"4753 Old Bent Tree Ln, Dallas, TX 75287",https://www.apartments.com/pear-ridge-dallas-tx/2d7clxc/,1986,,,,20,500,175,,,,,,,,,,,,,,,,,,,,,,,,
