Name                                                Stmts   Miss  Cover
-----------------------------------------------------------------------
euphoria/__init__.py                                    1      0   100%
euphoria/backend/api/__init__.py                        0      0   100%
euphoria/backend/api/crud/__init__.py                   1      0   100%
euphoria/backend/api/crud/base.py                      40     13    68%
euphoria/backend/api/crud/tasks.py                     29      4    86%
euphoria/backend/api/endpoints/__init__.py              0      0   100%
euphoria/backend/api/endpoints/health.py                8      0   100%
euphoria/backend/api/endpoints/tasks.py                32      3    91%
euphoria/backend/common/__init__.py                     0      0   100%
euphoria/backend/common/config.py                      94      6    94%
euphoria/backend/common/db/__init__.py                  0      0   100%
euphoria/backend/common/db/sqlalchemy/__init__.py       0      0   100%
euphoria/backend/common/db/sqlalchemy/base.py           2      0   100%
euphoria/backend/common/db/sqlalchemy/session.py       10      4    60%
euphoria/backend/common/models/__init__.py              0      0   100%
euphoria/backend/common/models/tasks.py                32     15    53%
euphoria/backend/common/schemas/__init__.py             2      0   100%
euphoria/backend/common/schemas/health.py               5      0   100%
euphoria/backend/common/schemas/tasks.py               17      0   100%
euphoria/tests/__init__.py                              0      0   100%
euphoria/tests/conftest.py                             55      3    95%
euphoria/tests/data_generators/__init__.py              1      0   100%
euphoria/tests/data_generators/base.py                 21      2    90%
euphoria/tests/data_generators/tasks.py                 7      0   100%
euphoria/tests/endpoints/__init__.py                    0      0   100%
euphoria/tests/endpoints/test_health.py                12      0   100%
euphoria/tests/endpoints/test_tasks.py                 65      0   100%
euphoria/tests/helpers.py                               3      0   100%
euphoria/tests/test_config.py                           7      0   100%
-----------------------------------------------------------------------
TOTAL                                                 444     50    89%
